,describe
6187,-front & rearMaximum power (electric motor): 385 kWMaximum torque (electric motor): 858 NmDrive: 4MATIC full-time 4-wheel acceleration ( 0 – 100 km/h): 4.
6192,"-Very new car, only 29,000km, 1 owner from the beginning, original shell according to the car, spare parts -Brand new interior, leather seats, screen, reversing camera , reverse sensor."
6201,"+FREE general vehicle inspection for customers in the first 1,000 km."
6215,"-Brown interior • Odo standard km • Full company maintenance history✓ commitment to vehicle quality, no collisions, accidents, floods, original km."
6221,"-Benz GLC 200 cream green Manufactured in 2022 Super cool Beautiful car without a drop of paint, dear brothers and sisters Happy to serve 6000km Km No collision, No flood, Selling car with warranty, Support buying car in installments, Including brand testing,."
6229,"-Odo 80,000 -Over 90% paint -Interior is like new -Exactly 1 owner -City license plate -Warranty 06 months or 10,000km (All miscellaneous defects repaired completely free -(3-0 quality commitment paper -No Collision -No Flooding -No Water Shock)."
6291,-Hanoi beach Just had new hard tires replaced.
6299,"-White car, luxurious brown leather interiorOne owner car bought from scratch, only 65,000 km of drivingThe car is as pictured, extremely luxurious Luxury business version Important, classy."
6312,-factory test included.
6380,"-18,000 km •Genuine imported from Malaysia Volvo still has full factory warranty until October 2024."
6391,"-Silver✓ Year of manufacture: 2021, registered June 2022✔ Odo: 3000 km, not yet had time to change oil for the second time✓ Provincial license plate bought by 1 new owner✓ Additional equipment : Dashcam, Android screen, 5D carpet, Cam 360, leather seats, leather floor, reverse sensor, tire pressure."
6392,"-✓Odo: 2,350km✓Includes factory testing and delivery nationwide MT Auto 88 To Huu."
6394,"-White✓ Year of manufacture: 2020, first registration November 2020✔ Odo: 28000 km, super new, fully genuine maintenance✓ HP license plate 1 new owner ✓Guaranteed no collisions, accidents, flooding, new interior like a factory car."
6414,"-Full version, automatic transmission, 1 diesel engine -New car with only 26,000km -Very nice car quality, no minor defects, the seller covers accidents and flooding, genuine warranty until 2024, peace of mind to use -Price Selling is still negotiable -You can immediately save 400 million compared to a new car."
6416,"-4 tires according to the car, spare parts not lowered, 10 Bose speakers, 2 electric seats, sunroof, memory seat, electric trunk, full LED lights, high quality leather seats … People refer ."
6456,"-Android screen +Cam360 c8s -Reverse sensor +steelmate tire pressure sensor -3M glass stickers -Automatically folding mirrors -underbody lights, 6d floor mats."
6469,"+body +machinery +flooding) Guaranteed to be 100% Zinc from new -The car has not crashed, has not crashed, has not been flooded, has no minor defects."
6470,"-Diesel motorbike, white color, automatic transmission -Runs 69,000km -Original mechanical car Contact phone number to see the car and negotiate on price."
6548,-Electronic dashboard -Electronic gear lever -Wireless Apple Carplay connection -Electric seats.
6557,-Equipment: New generation MBUX entertainment system with 10.
6600,-Odo 6v2 km.
6604,"+reverse camera, gearshift paddles on the steering wheel, electric driver's seat, automatic air conditioning."
6666,-Tan Binh Ward -Hai Duong City.
6667,"-Color: PEARL WHITE -Warranty 2025- Ho Chi Minh City license plate- Very low mileage: 4,000 km- Full company maintenance history enough -320 horsepower, powerful, heated +cooled leather seats, good speakers, Panorama window, 360 cam, wireless charging, 4-zone air conditioning."
6686,"-3-position memory seat for both driver and passenger -Automatic throttle, speed limiter."
6735,"-4 tires still original to the car, very new interior."
6812,"-Interior: Black- Committed to the car contract without any problems, if you buy the car back."
6838,"-VX -2021, named Bill Exporting Company, 3v km run, provincial license plate equipped with 3 air conditioning system for fast and deep cooling, ABS braking system."
6854,-full company history.
6868,"-Year of manufacture 2018, first registration March 2019, only 01 owner, 68,000 km, clean history, no water jack, honest km, including testing nationwide."
6933,"-ODO Zin: 5,000km -Buy and sell nationwide, reputable, professional -Massage or ventilated seats, front passenger The rear also has its own entertainment screen, function setting knob, working sheet, mini refrigerator containing champagne, cup holder, crystal goblet set."
6934,"-ODO Zin: 5,000km -Buy and sell nationwide, reputable, professional -Massage or ventilated seats, front passenger The rear also has its own entertainment screen, function setting knob, working sheet, mini refrigerator containing champagne, cup holder, crystal goblet set."
6964,"-Physical insurance until June 2023 -New registration & road tax due until May 31, 2024 -Full set of 2 keys, Catalouge, Insurance book, User manual -Upgraded with more than 100 million in accessories includes: -BC Racing shock absorbers -Harman Kadon entertainment screen -ESB 2."
6966,"-Black✓ Year of manufacture: 2021, first registration December 2021✔ Odo: 12000 km, super new, fully genuine maintenance✓ Provincial license plate 1 owner Buy new ✓Guaranteed no collisions, accidents, flooding, new interior like a factory car, unrolled spare parts."
6967,"-Red✓ Year of manufacture: 2021, registered May 2021✔ Odo: 20000 km, full genuine maintenance✓ Provincial license plate 1 new owner ✓ Additional equipment full options: Leather seats, Android screen, Cam, Steps, Body Kit Turbo version, AMG steering wheel, noise canceling around the car, super bright headlights, LED interior trim, undone turn signals."
6987,"-12,000 km, original owner."
6999,"-White✓ Year of production: 2016, first registration September 2016✔ Odo: 50000 km, super new, fully genuine maintenance✓ Provincial license plate 1 owner bought new✓ Additional options: AnDroid screen, leather floor, dash cam, brand new Michelin tires, super bright headlights."
7028,-only 8l/100km Very new car Full genuine maintenance history Genuine imported car Tested.
7065,-S450 4Matic manufactured in 2022 Genuine super surfer Odo: 1000 km Registration: 2022 Genuine warranty until 2025 Save 600 Million compared to a new car.
7078,-Equipment: +Super wide electric Panorama sunroof +Glossy brown designo sunburst myrtle wood paneled interior (combined with the remaining interior colors) +2-spoke leather-wrapped multi-function steering wheel and wood paneling+ Two 12.
7099,"-remember 2 seat positions -, Cruise Control, HUD glass -sunroof, 02-zone air conditioning -07 safety airbags, Taplo screen with Bluetooth/AUX connection -reversing camera -08 speakers, front and rear collision warning."
7115,"-31,000 km."
7123,-Super luxurious Ruby / Black color.
7129,"-black interior Hn license plate ; Private 1 Owner from new Full version with sunroof, windows."
7145,"-Vehicle equipped with: electric leather seats, safety airbags, entertainment screen with integrated reversing camera, Volang has integrated buttons, cast wheels, etc."
7146,"-Equipped with electric mirrors, electric seats, screen with sync 2 technology, reversing camera, 3."
7156,"-On-off exhaust -Newly painted and cranked before Tet -18 degree rims -new tires with 1000km mileage -4 xenon/led lights +130% brightness bulb -4-wing noise canceling +wheel wells -4 cams around the car, blind spot warning sensor."
7219,"-beautiful in every detail from outside to inside, full options Guaranteed faultless car -including factory or garage testing nationwide."
7220,"-Equipment: Leather seats, 6-way manual front seats, 2 USB ports, Dashboard displaying operating parameters Size 7 inch TFT LCD, Screen Central entertainment, 10-inch touch screen, 4-way manual steering wheel, leather upholstery, integrated function keys, 1-zone automatic air conditioning, heat pump, air quality control, P2 fine dust filter."
7222,"-Equipment: Leather seats, 6-way manual front seats, 2 USB ports, Dashboard displaying operating parameters Size 7 inch TFT LCD, Screen Central entertainment, 10-inch touch screen, 4-way manual steering wheel, leather upholstery, integrated function keys, 1-zone automatic air conditioning, heat pump, air quality control, P2 fine dust filter."
7225,"-Equipment: Leather seats, 6-way manual front seats, 2 USB ports, Dashboard displaying operating parameters Size 7 inch TFT LCD, Screen Central entertainment, 10-inch touch screen, 4-way manual steering wheel, leather upholstery, integrated function keys, 1-zone automatic air conditioning, heat pump, air quality control, P2 fine dust filter."
7227,"-Equipment: Leather seats, 6-way manual front seats, 2 USB ports, Dashboard displaying operating parameters Size 7 inch TFT LCD, Screen Central entertainment, 10-inch touch screen, 4-way manual steering wheel, leather upholstery, integrated function keys, 1-zone automatic air conditioning, heat pump, air quality control, P2 fine dust filter."
7229,"-Equipment: Leather seats, 6-way manual front seats, 2 USB ports, Dashboard displaying operating parameters Size 7 inch TFT LCD, Screen Central entertainment, 10-inch touch screen, 4-way manual steering wheel, leather upholstery, integrated function keys, 1-zone automatic air conditioning, heat pump, air quality control, P2 fine dust filter."
7230,"-Equipment: Leather seats, 6-way manual front seats, 2 USB ports, Dashboard displaying operating parameters Size 7 inch TFT LCD, Screen Central entertainment, 10-inch touch screen, 4-way manual steering wheel, leather upholstery, integrated function keys, 1-zone automatic air conditioning, heat pump, air quality control, P2 fine dust filter."
7231,"-Equipment: Leather seats, 6-way manual front seats, 2 USB ports, Dashboard displaying operating parameters Size 7 inch TFT LCD, Screen Central entertainment, 10-inch touch screen, 4-way manual steering wheel, leather upholstery, integrated function keys, 1-zone automatic air conditioning, heat pump, air quality control, P2 fine dust filter."
7288,"-The center console is designed with many modern technologies such as bluetooth connection, iPod/USB, 2-zone automatic air conditioning, cruise control, sunroof, ELS high-end sound system, 9-inch LCD screen."
7316,"-Line, Odo: 18,000 km, Production: model 2022, Ho Chi Minh City license plate Nationwide company check package Bank support 70% of value -Vehicle is equipped with fuel-saving ECO engine, and many other high-end safety systems, driving mode settings, electric seats, screen, reversing camera, sensors around the car, high-quality leather interior according to the new car, 5D floor lining, zin rims according to the car."
7342,"-2 airbags, electric power steering wheel, spacious luxurious black interior, 2 air conditioners, ABS, EBD , BA, ASC, HSA, ESS,."
7375,"-19"" MSport wheels -MSport steering wheel, accessories sporty black paneled exterior details -Harman Kardon speakers -vvvv• Genuine 3-year warranty with unlimited km. -#H3T guarantees that the car will not crash, not be flooded, standard km Please contact Mr."
7410,"-2020 model Oil, manual transmission -Odo 107,531 km -5."
7534,"-Commitment: No collision, no flooding."
7537,-Tan Binh Ward -Hai Duong City.
7552,"-Saigon Seaboard transferred to the name to save on license plate fees -Super glider like a new car, flawless, genuine nationwide warranty -Full version So full of safety technology features -Save more than 300 million compared to a new car -The car is equipped with heat insulation film, dash cam, floor lining, corner fenders -Free 1 year genuine warranty equivalent to 20,000 km -Support for 40-50-60% installment payment, support for bank loan procedures -Support for withdrawing documents, registering for name transfer -Hello for support in viewing the car, test driving, good prices with gifts."
7672,"+ABS, integrated volume on the steering wheel, smart lock starter, 4 safety airbags, automatic safety door lock, convenient 1-touch door opening, electric trunk, ceiling lights, trunk on the dashboard."
7683,-interior is like new.
7731,-SG license plate.
7810,-With Body Insurance -Just got leather seats -Just covered the undercarriage ** Bought for silver boss in the yard.
7875,"-Extremely beautiful car appearance, guaranteed not to crash, crash, or flood."
7889,"-1 axle, original car with no modifications, 78,000km odo, no crashes or floods -inspection still valid for a whole year, physical warranty until March 2023 I just got it New car so need to sell old car, consider LH car."
7894,"-1 ownerColor: WhiteRide: 24,000kmFull maintenance warranty bookThe car is equipped with: -360 output camera -Full LED 3 Bugatti lights -Carbon interior cladding -Film stickers Insulation -5D floor lining The car has been fully inspected with 167 technical points, 1 year warranty on the engine and gearbox."
7918,"-Cars of all colors, available for immediate delivery -Support home delivery -Attractive incentive program, nationwide installment payment with low interest rate -Contact Contact Ms Lua immediately for more information."
7927,"-Standard Vehicle, No Flooding -Brand check included -Contact to negotiate further."
7942,"-SX 2016 • Body upgraded 2020 • Odo more than 60,000 km • Vehicle imported from the Middle East, with distance brake, chassis lift, 360 camera, cold box, sunroof etc."
7952,-exchanging -customizing toys and spare parts -maintaining used cars Contact to see the car and press the price!
8021,"-Vehicle commitment No accidents, no engine repairs, no flooding, I was immediately satisfied with the car -Price is negotiable."
8043,"-Gray color, black roof, cream interior -2020 odo 15000km -Bank support Free car care package and Ceramic coating."
8054,-Black with brown interior -2018 odo 60000km -Bank supportFree car care package and Ceramic coating.
8104,"-360 panoramic cam, beautiful car, no need to discuss quality -Car sold with guaranteed originality including inspection and testing from a nationwide mechanic."
8113,"-Electric trunk -Cam 360 -Electric curtains -Double exhaust pipes -Hanoi license plate Condition: Just picked up in September 2022, still like new, Traveled about 2000km, installed floor mats, carefully covered sports leather seats."
8120,"-Sea of unlimited travel with front bumper version, 17,000 km vehicle load COMMITMENT OF NO COLD -NO FLOODING GENUINE WARRANTY PK package: ✓ Equipped with heat insulation film ✓ Sports bar ✓ Bumpers Previous Raptor 2023==================Supported installment payments up to 85% of car value."
8194,-Exchange -Customizing toys and spare parts -Maintaining used luxury carsSee the car at: No.
8207,-Provincial license plate.
8215,"-The Essence of High Roaring If you are planning to buy a Super Gliding LEXUS, don't miss the RX350 Production 2021 Model 2022 introduced below by SUV AUTO PROOdo: 10,000kmExterior: BlackInterior: BrownThe car is committed to quality quantity, price."
8252,"-Lights Laser Light -19-inch multi-spoke wheels (model 620) -Electric open/close luggage compartment lid -Special soundproof, heatproof & infrared reflective glass -Pure Excellence exterior design package -Welcome lights light carpet+ Interior -Front & rear seat ventilation function -Ion & fragrance generation system in the interior -Interior decorative border lights can change color & brightness -Supports wireless Apple CarPlay® connection -4-zone automatic air conditioning The car has been strictly inspected for quality and is a classy car."
8292,-18-inch multi-spoke alloy wheels.
8303,-White with black interior -Dyamic Body Control chassis for sporty driving -2.
8332,"-backup camera program, tire pressure, 5D floor covering, see if the car is satisfied, ABSOLUTE QUALITY!"
8338,"-2018 production, odo: 57,000km -City BS, personal, Vehicle equipped: front and rear cruise cam, tire pressure sensor, electric trunk, electric seats, 3D floor lining Price: (TL) Ms."
8367,"-model number: range rover evoque pure plus -registration plate: 51g-72321 -number of seats: 5 seats -color: red black -interior: cream yellow -import: UK -year of production Manufactured: 2015- rolled out and first registered in Vietnam: September 2017- number of kilometers run: 38,000 km- 2."
8377,"-Equipped with amenities on the car is relatively complete with: Sharp information display screen, automatic air conditioning system modern ensures fast cooling requirements for hot summer days, beautiful interior lighting system and MINI Connected with a series of digital services such as traffic information, 4G/LTE connection, Apple CarPlay support ."
8380,"-6-speed automatic -Imported Indonesia Manufactured: 2018Number of KM: 19,000 km (super blanket) License plate: HCM license plate -personal☀️ Regularly maintained vehicle, equipped with: High-quality heat-insulating film Simili floor lining Rain cover trim Chrome-plated door handles Anti-scratch edges on the rear trunk, 2 headrest screens, Chrome side skirts ☀️ Price: negotiable directly when viewing the car."
8436,"-First registration: May 2017 Color: White Surf: 38,000km Full warranty book Included accessories: Heat insulation film, leather seats, floor lining Vehicle has been fully inspected with 167 technical points Commitment to not crash, not flood, Don't rewind the clock."
8437,"-Color: Blue -Registration: TP plate -Km traveled: 78,000km -Equipment: Electric leather seats, floor lining, Heat insulation film, Sensor Around the car, Screen, reverse cam, electronic brake, sunroof."
8474,"-Silver color✓ Car manufactured in 2019✓ Km: 38,000km✓ Insurance: full✓ Posted until November 19, 2023✓ Family car to keep Be very careful: No collision, no flooding, regular maintenance Vehicle is equipped with accessory packages: Floor covering, Taplo cover, Sensor screen."
8500,-Sunroof -4-zone air conditioning -Bose speakers -19 inch Lazang.
8521,-100km/h in just 4.
8579,"-Equipment: Leather seats, floor lining, Heat insulation film, Surrounding sensors car, DVD vietmap screen, dash cam, 3M film, floor lining."
8596,"-car has 40,000 miles -just replaced 4 brand new tires -screen entry -starter lock -electric folding mirrors -roll top -black leather interior -upholstered in Tran Beautiful car, fully serviced, only need to add oil to run -2-way insurance Price: (buying this car does not cost anything else) including notarization, support for withdrawing registration for you to import."
8631,-The vehicle's rearview mirrors are also modernly designed with integrated turn signals.
8640,-brown seat interior -Genuine 3-year warranty until August 2025-* Genuine used car Mercedes Benz brand.
8656,"-Odo 91,000km -Orange, Original car, history Fully maintained at the company -New 2-way insurance purchased January 14, 2023, newly registered December 27, 2022 -Smart key +Start/Stop button -Reverse camera +reverse and front sensors -Replace new cover at 70,000km -The car is equipped with: Tow truck cover -No crash or flooding, slight scratches Thank you for watching."
8681,-black seat interior- Genuine 3-year warranty until October 2025-* Genuine used car Mercedes Benz.
8685,"-Year of manufacture: 2022- Registration: October 2022- ODO: 3,000 km- Blue -black seat interior- Genuine 3-year warranty until October 2025-* Genuine used car Mercedes Benz."
8693,-Year of production: 2022 -Registration: January 2023 -ODO: 50 km -Black -brown seat interior -Genuine 3 year warranty until January 2026 -* Genuine used car Mercedes Benz brand.
8732,-all packages are available upon request -the car doesn't have to be thought about -license plate -thank you everyone for looking.
8907,"-Registration 2022 -Super Surfing With Installment Car Loan Support -Automatic transmission -Gasoline engine -Manufacture: Indonesia -Color: White -Black -Odo: 18,000 km -Original engine not yet lowered."
8939,-excellent interior and exterior New period!
8988,+Bao Check pipe plating from a national brand.
9020,"-6-speed automatic☀️ Manufactured: 2020 ☀️ KM number: 19,288 km (covered with blanket) ☀️ License plate: HCM license plate -personal ☀️ Vehicle regularly maintained, equipped with: High quality heat insulation film Simili floor lining Rain cover trim Chrome plated door handle cover Anti-scratch edge Rear trunk with 2 headrest screens Chrome side skirts Stainless steel footrest cover Electric trunk Manufacturer warranty until June 2023 Material insurance until November 2023☀️ Directly negotiated selling price With used cars offered for sale at , You can have complete peace of mind because:✓ The vehicle has been checked by the KTV team for quality according to standards, guaranteed to be collision-free, flood-proof, and fully documented."
9071,"-Personal car, over 30,000 miles, very new interior and exterior, no accidents, no flooding, no engine modifications -Hanoi Beach, 1 owner from the beginning -Very good options Many: Panorama sunroof, electronic handbrake, electric trunk, Vietnamese navigation screen, Reverse camera, Cruise control, electric seats."
9072,"-odo: 100,000 km -Hanoi license plate -equipped with entertainment system with genuine DVD screen integrated with Vietnam navigation map, AM/FM system +DVD, AUX, USB connection ports support bluetooth connection to connect external multimedia devices, 6-speaker sound system provides high sound quality."
9085,"-Hue license plate 47,000km Original car, brand new Contact for more information!"
9101,"-beautiful in every detail from the outside to the inside, full options."
9137,"-Runs 32,000km -White color."
9165,"-ODO 28,000 km -car equipped with: Cruise Control, Gearshift lever, Smart key, Push button start, Fuel saving driving mode , Apple CarPlay and Android Auto connection, Vivid 8-speaker sound system, Anti-glare rearview mirror, Wireless charging, Electric trunk Address: No."
9190,"-2-color interior, full version UAE car Start/Stop ignition system Sunroof, reversing camera, DVD screen 4-zone automatic air conditioning, chassis lift, air shock absorber Electric steering wheel, speaker system Mark Levinson Safety equipment: ABS, VSC, EBD, BA, traction control."
9293,-Ready for immediate delivery to G-Class fans 4.
9298,"-Color: White & Gray -Warranty 3 years or 100,000km -Free 2 maintenance times."
9316,"-Odo 79,000km -Vehicle equipped with: -Commitment that the vehicle will not crash or flood -Genuine vehicle sold with 1 year or 12,000km warranty on engine and gearbox parts -Guaranteed quality vehicle Quality, support for collecting old cars to exchange for new ones."
9319,"-Odo 72,000km -Vehicle equipped with: floor covering, heat insulation film, entertainment screen, cast wheels, reversing sensor, reversing camera,. -Genuine cars sold with 1 year or 12,000km warranty on engine and gearbox parts -Commitment to quality cars, support for collecting old cars for new ones."
9340,"-Automatic On Off Led Front Light -Daytime LED -Front and rear Corner sensor +reverse sensor -Brake distance -9 airbags -ABS, EBD, BA."
9395,"-170mm for the ability to climb curbs and wade through water Outstanding* Spacious, comfortable interior, large trunk to hold a lot of stuff* Safety features Automatic belt tensioning Electric steering wheel Anti-lock braking system (ABS) Electronic brake force distribution system (EBD) *Loan rate up to 85% of car value*Only from 102 million*Support installment payments with preferential interest rates*Loan period up to 96 months."
9405,-Loan period up to 8 years!
9434,-Loan period up to 8 years!
9449,"-rolled over 85,000km."
9509,"-Equipment: +14-way electric front seats, 3-position memory, seat cooling +3-spoke steering wheel Wood-trimmed leather upholstery with integrated function buttons, electric adjustment, heating function +Driver's seat and steering wheel support entry and exit +12."
9591,"-Production 2019 Ohdo 6v kmFull option vehicle of 4x4 pickup line, lane departure warning, collision warning, wireless connection,."
9620,"-Cx8 -Premium -AWD -2020Personal car, 1 owner from new, more than 3k km, car equipped with full options, highest version, 2 axles, 360 cam, distance brakesQuality and hard car."
9631,"-ABS system, safety airbags, leather seats The car has traveled 80,000 km, has been maintained and used very carefully so the car's quality is still very new, car commitment No collision, no flooding!"
9636,"-ODO: 38,000km -car is equipped with: smart key start/stop, integrated steering wheel, dvd player, front and rear sensors , high-quality leather seats in the car, automatic air conditioning, super fuel-efficient eco, electric folding mirrors, xenon headlights, and many other amenities."
9649,"-70,000km with full history."
9668,"-Provincial license plate -Odo 4000km -100% original paint Guaranteed original car, no crashes, no flooding."
9689,"-Equipment: Leather seats, floor lining, Heat insulation film, Screen, reverse cam, Starter."
9690,"-40,000 km -Provincial license plate Vehicle equipment: Premium 2-wheel drive version (Electric bridge) Leather-wrapped steering wheel, Premium leather seats, Automatic air conditioning , 8-inch touch screen, 10-speaker sound system."
9695,"-Guaranteed to have no accidents due to flooding -All types of brand tests are included, if any defects are given away 10 million -The car has traveled 75,000km."
9716,"-One owner from the beginning, full maintenance history -no mileage adjustments."
9731,-Sunroof -4-zone air conditioning -Bose speakers -19 inch Lazang ……….
9738,-Muntibeam Led lights -2 sunroofs -Burmmester speakers -3-zone automatic air conditioning -360 degree camera -display screen Electronic display -5 driving modes -electric trunk -2 electric front seats with 3 memory positions -……….
9763,"-Vehicle equipment: starter, camera, cruise cam, floor lining, soundproofing, carbon interior trim, 3D headliner, etc."
9779,-Nth black Odo 5v km Endless options: Indented steps.
9808,-all colors -to your home Contact now for the best choice.
9853,"-14225), dark blue, clock: 93,000km, 2-way insurance up to 5."
9875,-Muntibeam Led lights -2 sunroofs -Burmmester speakers -3-zone automatic air conditioning -360 degree camera -Electronic display screen -5 driving modes -electric trunk -2 electrically adjustable front seats with 3 memory positions -……….
9926,-Ready for immediate delivery to G-Class fans 4.
9929,"-Status The car is in normal condition with ODO 60,000 km, fully maintained at Ford, original interior and machinery."
9955,"-Color: White with Cream interior -Odo: 30,000km -Full options: 3 driving modes, Halogen headlights, LED daytime lights , automatic lights on and off, electric folding rearview mirrors with integrated turn signals, automatic wipers, high-quality leather interior, integrated leather steering wheel, automatic air conditioning with ion air filter, sunroof , 7 inch screen with USB/Bluetooth connection, 6 speakers, rear seat air vents, start/stop, smartkey -Full safety equipment: electronic balance system, vehicle body stability, anti-slip control, departure control slope level, tire pressure sensor, 6 airbags, reverse sensor, reverse cam."
9962,"+garage) Supports quick name change and license plate change =====Currently the store is applying many special incentives for the beginning of spring 2023 Quy Mao with the method The motto is to bring beautiful cars at good prices to serve consumers =====If you are interested, please contact me: 24/7 for answers, to see the car and experience."
9987,"-Halogen lights, fog lights, electric rearview mirrors, dual 6-spoke sport wheels, orange Android screen 360, into the cargo box, leather seats."
10027,"-First registration: December 2020Color: RedNumber of kilometers: 56,000kmAccessories included: Heat insulation film, floor liningThe car has been fully inspected with 167 technical points."
10032,"-Equipped with leather-wrapped steering wheel with integrated function buttons, leather-wrapped gear lever."
10041,"-very beautiful cream interior Provincial license plate -70,000 km full history Durable Japanese car, spacious 7 seats, quiet, good soundproofing Has ignition key, volang key, glass mirrors Electric adjustment, reverse cam."
10093,"-Equipment: Leather seats, floor lining, Heat-insulating film, Screen, cam reverse, Start start stop, etc."
10109,-still has invoice for replacement parts so the car is only sold when purchased.
10142,"-Automatic transmission✓ Registered October 2018✓ Ho Chi Minh City license plate✓ ODO: 33,800 km✓ Available options: -Heat insulation film -Floor lining SPECIAL: Ngoc An Auto accepts Accept installment payments when buying a car."
10191,"-Good quality, regular maintenance."
10283,"-100,000km vehicle warranty."
10285,"-Capacity: 460hp at 7,000 rpm -Torque: 520Nm at 4,750 rpm -Maximum speed: 301km /h- Gearbox: 6-speed ZFEquipment: -20in titanium wheels -Yellow sports brake calipers -Titanium Tex door sill covers -Suede ceiling -Wooden interior trim -Skyhool forks with adjustable hardness -Volang covered with Alcantara leather -Interior Carbon Package, Gear shift lever, clock."
10291,"-100,000km."
10293,"-Odo standard 4v6 -Equipped with 2 sunroofs -2 electric seats -electric trunk -Guaranteed absolutely beautiful new car -over 90% zin paint -Warranty 06 months or 10,000km (All damaged) All miscellaneous defects are repaired completely free of charge -(3-0 quality commitment paper -No Collision -No Flooding -No Water Shock)."
10300,"-Manufactured in 2016, registered for first use in 2017 -Hanoi private owner -Vehicle with 90,000 miles -1-wheel drive automatic GLX version imported from Thailand -Diesel engine 2."
10330,"-Newly registered on December 28, 2020 -Original owner, family car, ODO 14,000 km -Black car, colored leather interior reddish brown, car is like new!"
10388,"-cream interiorOptions: start/stop starter, electronic brake +auto hold, 3 running modes, 2-zone air conditioning, power doors, electric seats, 2-way power trunk opening memory."
10409,"-odo: 40,000 km -White color -SG license plate Vehicle equipped with: -Panoramic sunroof, 12."
10417,"-Odo: 48,000 km -Still under factory warranty until March 8, 2023 -Regular maintenance at the factory (just completed maintenance) -Registration until April 2024 -License plate SG is easy to see -Leather car is still new and not dirty, interior is well kept -Simili floor covering, heat insulation, dash cam, reversing camera, smartkey, collision sensor, cruise control, taplo carpet, rain cover, light cover , trunk cover,."
10477,"-Hanoi license plate, customer transferred the name within the same day."
10478,"-White, brown interior -2019 production, first registered in May 2020 -Super glide 17,000milesEquipment: 2."
10529,-Power: 550hp at 6250 rpm -Maximum speed: 292km/h -Acceleration: 0-100 4.
10564,"-Equipment: Leather seats , floor liners, dashboard mats, steering wheel covers, heat insulation film, air horn, android screen, cruise cam, reverse cam, automatic throttle,."
10583,"-Engine: Gasoline Accessories: -Dashcam -Heat insulation film -- -- ✓ Tested on 176 items according to Toyota standards ✓ Genuine warranty 1 year/20,000km ✓ Support for installment payments low interest Toyota used car center Ly Thuong Kiet -Tan Son Nhat Branch Thank you for viewing the news."
10632,"-Odo 38000 km new, no competitors -Car equipped with leather seats, automatic air conditioning, entertainment screen, safety airbags, reversing camera, reversing sensor, cast wheels ."
10643,"-Equipment: +Smart key +Bluetooth connection +Automatic air conditioning +Touch screen +Anti-lock brakes (ABS) +Electronic brake force distribution (EBD) +Emergency brake assist (BA) +Electronic balance (ESP) Car does not crash, Does not flood, Sells car with warranty, Supports buying car in installments, Includes factory testing,."
10719,"-Genuine transmission engine, smooth operation -Engine oil, gear oil, coolant, glass washer fluid, brake booster."
10783,"-Vehicle is committed to not crashing, not being flooded, including nationwide company checks."
10808,"-odo standard 34,000km (including factory check) -1 owner from the beginning -4 original covers with car -Warranty 06 months or 10,000km (All miscellaneous defects are repaired completely free of charge -(3-0 quality commitment paper -No Collision -No Flooding -No Water Shock)."
10824,-The car is equipped with advanced safety systems to optimally protect users.
10866,"-Black Mercedes GLC200 with super nice black interior, genuine surfer, only 1000 km of odo, manufactured in 2022 -V1 version, equipped with 64-color interior lighting, leather interior with wood paneling, screen touch."
10897,-Black // Brown -2021 Model -Run 9900 km -Guarantee that the car will not crash or flood; standard km.
10898,"-sunroof, electric seats, ball lights, sports day NET, 2-zone AUTO air conditioning, -super fuel-efficient ECO engine material."
10921,"-with 07-speed Tronic transmission, extremely smooth and sweet."
10971,"-Color: Red -ODO: 22,999 km -License plate: Vinh Long Fully equipped with accessories: -High quality heat insulation film -2."
10979,"-automatic transmission *♦️Car produced in 2021 model 2022 runs more than 6 thousand km and is still like brand new *♦️Extremely new and beautiful car Bank support up to 70% of car valueACE has needs, please contact us."
10983,"+FREE general vehicle check for customers in the first 1,000 km."
10995,"-Odo standard 11,000km (including clock) -1 owner from the beginning -99% paint with no minor defects -Warranty 06 months or 10,000km (All miscellaneous defects are repaired completely free of charge -(3-0 quality commitment paper -No Collision -No Flooding -No Water Shock)."
10997,"-Vehicle equipment: Light cluster full LED PDLS headlights, 20-inch 911 Turbo sport wheels, Panorama sunroof, 3D LED lights extending across the rear of the car, sports steering wheel with integrated multi-function control buttons, sports gear shift lever, Cruise Control."
11073,"-The car has only traveled 4000km, 99% new -The car has never been in an accident, hydro strike, or flooded."
11075,"-personally registered car with 1 owner, manufactured in 2014, model of 2015 -Car only has 100,000 miles, regularly maintained at the company -Car has never been in an accident or hydro strike , drown."
11087,"-Manufactured in 2016 & 2017 mileage BMW 528GT is imported in complete genuine units, is the most advanced version of Series 5. -extremely new."
11097,"-White✓ Year of manufacture: 2022, first registration July 2022✔ Odo: 9000 km, super new, fully genuine maintenance✓ Provincial license plate 1 owner Buy new, endless registration✓ Endless options: Cam 360, electric seats, smart key, great speaker system."
11099,"-cavansite green✓ Year of manufacture: 2018✔ Odo: 70000 km, full genuine maintenance✓ Provincial license plate, hand-held license."
11104,"-white✓ Year of manufacture: 2021, first registration April 2021✔ Odo: 30000 km, full genuine maintenance✓ Provincial license plate 1 owner bought new, owner takes possession hand."
11108,"-Red Purple✓ Year of manufacture: 2013✔ Odo: ~94500 km✓ License plate City, Original car according to: Has reverse camera, reverse sensor, double headlights, Has smart lights, airbags, sunroof, automatic touch screen."
